"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"153","Ало #ЗдравоТаравари смештај да не требит?",FALSE,21,NA,2017-06-20 09:28:19,FALSE,NA,"877095760361345024",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","EvinaTestisi",6,FALSE,FALSE,NA,NA
"154","#ЗдравоТаравари, има ли лек за Тричковски? https://t.co/2mr0PSqpdn",FALSE,1,NA,2017-06-20 09:17:26,FALSE,NA,"877093022504243203",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Neto_DDV",1,FALSE,FALSE,NA,NA
"155","#ЗдравоТаравари како е правилно да се пали цигара, пред секс или после секс?!",FALSE,12,NA,2017-06-20 09:16:39,FALSE,NA,"877092824549928960",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DamataSo",8,FALSE,FALSE,NA,NA
"156","#ЗдравоТаравари јас си купив тост со печеница за доручек, ти што ќе јадеш?",FALSE,29,NA,2017-06-20 09:13:38,FALSE,NA,"877092064760147969",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","evilblonddemon",8,FALSE,FALSE,NA,NA
"157","#ЗдравоТаравари планираш ли и изградбата на клиничкиот во Штип да ја прекинеш?",FALSE,1,NA,2017-06-20 09:09:14,FALSE,NA,"877090955949690880",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","vodacot",0,FALSE,FALSE,NA,NA
"158","За #ЗдравоТаравари колку Коста Петров лапна пари?",FALSE,2,NA,2017-06-20 09:05:27,FALSE,NA,"877090006371885056",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SiaWonderland",0,FALSE,FALSE,NA,NA
"159","#ЗдравоТаравари ќе го лечиш ли Шилегов од алкохолозам?",FALSE,18,NA,2017-06-20 09:00:04,FALSE,NA,"877088648910569474",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","vodacot",8,FALSE,FALSE,NA,NA
"160","#ЗдравоТаравари https://t.co/XbRKXt4zwr",FALSE,2,NA,2017-06-20 08:59:00,FALSE,NA,"877088382702284801",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TheKomshika",0,FALSE,FALSE,NA,NA
"161","#ЗдравоТаравари гравот колку време на струја се вари?
#еФтинаструја #дојдеживот",FALSE,33,NA,2017-06-20 08:54:23,FALSE,NA,"877087220032831493",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","komandantiprC",13,FALSE,FALSE,NA,NA
"162","#ЗдравоТаравари https://t.co/74cRSKLpyE",FALSE,66,NA,2017-06-20 08:53:37,FALSE,NA,"877087025643622400",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Trpimira",34,FALSE,FALSE,NA,NA
"163","#ЗдравоТаравари, дали може да се организира и ние да добиеме здравствени услуги во Косово и Албанија по цени на нивните фондови?",FALSE,4,NA,2017-06-20 08:53:27,FALSE,NA,"877086984526848002",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Publishermkd",4,FALSE,FALSE,NA,NA
"164","#ЗдравоТаравари
Хемороидиве ми се воспалија, ќе може Видео Повик на Вајбер да ги ѕирнеш малку?",FALSE,2,NA,2017-06-20 08:51:31,FALSE,NA,"877086498893549568",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","EvinaTestisi",1,FALSE,FALSE,NA,NA
"165","@ZdravstvoMK Влезат ли храбро во реформите, се почувствуваат ли подобрувања, сите ќе го фалат и ПР-от, вклучувајќи… https://t.co/CRHjBfqXJO",FALSE,1,"MirkoSlav",2017-06-20 08:45:39,TRUE,"877084316974665729","877085024314691584","54273187","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","MirkoSlav",0,FALSE,FALSE,NA,NA
"166","#ЗдравоТаравари до кога роднини на хоспитализирани пациенти од другите болници сами ќе носат брисеви и материјал за биопсија до институти?",FALSE,14,NA,2017-06-20 08:43:07,FALSE,NA,"877084383848665088",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","_malegria",0,FALSE,FALSE,NA,NA
"167","Успешноста на #ЗдравоТаравари зависи од успешноста на суштинските реформи на @ZdravstvoMK. Кикснат ли таму хаштагот низ нос ќе им излезе!",FALSE,8,NA,2017-06-20 08:42:51,FALSE,NA,"877084316974665729",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","MirkoSlav",0,FALSE,FALSE,NA,NA
"168","#ЗдравоТаравари ја прочита ли Се гледаме на врвот?",FALSE,2,NA,2017-06-20 08:40:47,FALSE,NA,"877083796230860800",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","vodacot",0,FALSE,FALSE,NA,NA
"169","#ЗдравоТаравари каква е дијагнозата за психо-менталнато пореметување на #ТалатЏафери и @Zoran_Zaev?",FALSE,21,NA,2017-06-20 08:21:02,FALSE,NA,"877078827230474240",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","MajaKoroves",7,FALSE,FALSE,NA,NA
"170","@ddimkooooo леле леле како одма сите почнавте со одбрана, #ЗдравоТаравари девојче ти умре во кола на Брза Помош 
Абе а кај те вработија?",FALSE,1,"ddimkooooo",2017-06-20 08:04:23,FALSE,"877072699817852928","877074636084850688","26638647","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","evilblonddemon",0,FALSE,FALSE,NA,NA
"171","#ЗдравоТаравари
Еј, #Шилегов тука, ми се тресат рацете!
Пиеш нешто???
Што имаш!",FALSE,24,NA,2017-06-20 07:56:47,FALSE,NA,"877072725470310400",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Kokran2",10,FALSE,FALSE,NA,NA
"172","#ЗдравоТаравари Дали на #Црпко од мајка му туши глата или фластерот не му е убо залепен ? #ЕвеНеЗнам https://t.co/3MPlAinpzZ",FALSE,6,NA,2017-06-20 07:56:36,FALSE,NA,"877072677978214400",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AcoMaliot",2,FALSE,FALSE,NA,NA
"173","#ЗдравоТаравари
Лек за Хемороиди ми треба, може Видео Повик на Вајбер да ти направам?
Фала ������",FALSE,6,NA,2017-06-20 07:55:01,FALSE,NA,"877072279259185152",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Kokran2",2,FALSE,FALSE,NA,NA
"174","Дали Др. господин министер Таравари е новиот др. Frasier? 
Решава проблеми преку телефон. #ЗдравоТаравари https://t.co/E5e84HDEwu",FALSE,6,NA,2017-06-20 07:52:02,FALSE,NA,"877071529351237632",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","dzigi7",1,FALSE,FALSE,NA,NA
"175","Кој ти е тој Таравари, и што има ти на него да му кажуваш #ЗдравоТаравари ?  ������",FALSE,7,NA,2017-06-20 07:51:13,FALSE,NA,"877071324665044992",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","thedjmkd",0,FALSE,FALSE,NA,NA
"176","#ЗдравоТаравари пријавувам корупција, утрово бев на надри лекар ми побара 100 ден. и 100 гр. кафе.",FALSE,1,NA,2017-06-20 07:49:13,FALSE,NA,"877070822673928192",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","neznajko1",0,FALSE,FALSE,NA,NA
"177","#ЗдравоТаравари на пзитивна пстојат лекови кои се тотално неквалитетни и микој нит ги купува нит препишува",FALSE,0,NA,2017-06-20 07:48:56,FALSE,NA,"877070749336555520",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Nabukanazer",0,FALSE,FALSE,NA,NA
"178","#ЗдравоТаравари https://t.co/Tdm1JOpSGU",FALSE,9,NA,2017-06-20 07:47:30,FALSE,NA,"877070387401682944",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","evilblonddemon",1,FALSE,FALSE,NA,NA
"179","Трендинг: #ЗдравоТаравари",FALSE,1,NA,2017-06-20 07:45:03,FALSE,NA,"877069772646756352",NA,"<a href=""http://delicon.mk/trending/"" rel=""nofollow"">TrendingMK</a>","trendingmk",1,FALSE,FALSE,NA,NA
"180","#ЗдравоТаравари ми доаѓаат туристи у апартман во недела, ќе им се погоди времето или од #500ЕвраПлата залудно ќе потрошат некое евро? ������������",FALSE,1,NA,2017-06-20 07:44:16,FALSE,NA,"877069576873402370",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","The_realSwat_",0,FALSE,FALSE,NA,NA
"181","@ddimkooooo Не мора да си близок за да му пишеш #ЗдравоТаравари",FALSE,2,"ddimkooooo",2017-06-20 07:43:18,FALSE,"877068774352015360","877069332362166272","26638647","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","evilblonddemon",0,FALSE,FALSE,NA,NA
"182","#здравотаравари дали може една преведувачка на албански од 24 до
27 да ми ги преведе уролошките проблеми оти незнам албански @ZdravstvoMK",FALSE,14,NA,2017-06-20 07:42:24,FALSE,NA,"877069103202263040",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","thajoker_MK",4,FALSE,FALSE,NA,NA
"183","#ЗдравоТаравари &gt; #ЗдравоГенијалци",FALSE,3,NA,2017-06-20 07:40:11,FALSE,NA,"877068546563600385",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DingoOdKratovo",0,FALSE,FALSE,NA,NA
"184","#ЗдравоТаравари јас го пијам кафето, а ти? https://t.co/Y8kxFUquZv",FALSE,21,NA,2017-06-20 07:38:11,FALSE,NA,"877068044643840000",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","evilblonddemon",6,FALSE,FALSE,NA,NA
"185","#ЗдравоТаравари, сте слушнале за Лајонес?",FALSE,9,NA,2017-06-20 07:37:15,FALSE,NA,"877067808278016002",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ViktoryNik",0,FALSE,FALSE,NA,NA
"186","#ЗдравоТаравари
Кои се точни причини за Утринска Куродрвка?
Се разбудив пред два саати и уште ми трае!
Дали е ова нормално?
Фала ������",FALSE,18,NA,2017-06-20 07:36:41,FALSE,NA,"877067667047419904",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Kokran2",5,FALSE,FALSE,NA,NA
"187","#ЗдравоТаравари сакав да прашам што доручкуваше @Zoran_Zaev утрово, дали е здрава храната во Бугарија и дали некој го чува Мерцедесот?!",FALSE,48,NA,2017-06-20 07:22:29,FALSE,NA,"877064093303230464",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Nacalnice",19,FALSE,FALSE,NA,NA
"188","#ЗдравоТаравари ова хаштафот да не ти е украден од #ЗдравоГенијалци?",FALSE,1,NA,2017-06-20 07:20:18,FALSE,NA,"877063543505510400",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","vodacot",0,FALSE,FALSE,NA,NA
"189","#ЗдравоТаравари
Некој лек против оваа епидемија на укинување на се и сешто?",FALSE,2,NA,2017-06-20 07:17:49,FALSE,NA,"877062918679998466",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","vodacot",1,FALSE,FALSE,NA,NA
"190","#ЗдравоТаравари  те поздравија од Лабараторија,барем Пуштиги на Колективен ионака работа Нема https://t.co/mV7dY86ZGs",FALSE,5,NA,2017-06-20 06:58:10,FALSE,NA,"877057974883299328",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","KajMakamot",2,FALSE,FALSE,NA,NA
"191","У мое време пишувавме #ЗдравоДневнику, денеска #ЗдравоТаравари, #имаразлика",FALSE,29,NA,2017-06-20 06:56:54,FALSE,NA,"877057654262292480",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","evilblonddemon",13,FALSE,FALSE,NA,NA
"192","@RealPodochnjak #ЗдравоТаравари",FALSE,4,"RealPodochnjak",2017-06-20 06:48:47,FALSE,"877052773543677953","877055611808231424","980677158","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SiaWonderland",0,FALSE,FALSE,NA,NA
"193","#ЗдравоТаравари ме вие десно колено. Ќе врне ли денес?",FALSE,5,NA,2017-06-20 06:48:43,FALSE,NA,"877055594313773056",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","chodjukot",2,FALSE,FALSE,NA,NA
"194","Целта ни е за една година да го поебеме хаштагот #ДоброУтро со хаштагот #Здравотаравари",FALSE,2,NA,2017-06-20 06:39:13,FALSE,NA,"877053204432904192",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RealPodochnjak",1,FALSE,FALSE,NA,NA
"195","Не ни треба мој термин. Со новата реформа во здравството #ЗдравоТаравари ќе закажуваме термини директно кај министерот. Се гледаме на врвот.",FALSE,5,NA,2017-06-20 06:36:36,FALSE,NA,"877052544996040704",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RealPodochnjak",1,FALSE,FALSE,NA,NA
"196","Министерот за здравство ќе го слуша народот преку #ЗдравоТаравари https://t.co/AHGd1RJVrT",FALSE,1,NA,2017-06-20 06:31:38,FALSE,NA,"877051294816579584",NA,"<a href=""http://kajgana.com"" rel=""nofollow"">Твитни преку Кајгана</a>","Kajgana",0,FALSE,FALSE,NA,NA
"197","Ова специјалниве советници за комуникација по министерствата доста активни.

#ЗдравоТаравари прв проект.

Следно МНР:  #ПрашајГоДимитров",FALSE,4,NA,2017-06-20 06:29:48,FALSE,NA,"877050835108343808",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","Carbonoxid",1,FALSE,FALSE,NA,NA
"198","Од еден до Се гледаме на врвот, колку #ЗдравоТаравари е измишљотнина на Коста Петров Први Невенчани",FALSE,4,NA,2017-06-20 06:29:00,FALSE,NA,"877050633504915456",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SiaWonderland",2,FALSE,FALSE,NA,NA
"199","#ЗдравоТаравари дали целиот мадат ќе го потрошиш на одговарање на прашања на viber и whats app?",FALSE,26,NA,2017-06-20 06:25:16,FALSE,NA,"877049692479254528",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","evilblonddemon",11,FALSE,FALSE,NA,NA
"200","I have morning wood.
Please help ?

#ЗдравоТаравари",FALSE,3,NA,2017-06-20 06:11:32,FALSE,NA,"877046235982680064",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","Carbonoxid",2,FALSE,FALSE,NA,NA
"201","Имам запек #ЗдравоТаравари",FALSE,6,NA,2017-06-20 06:07:43,FALSE,NA,"877045275772243970",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SiaWonderland",4,FALSE,FALSE,NA,NA
"202","#ЗдравоТаравари, јас станав, а ти?",FALSE,14,NA,2017-06-20 05:55:26,FALSE,NA,"877042188231872512",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","evilblonddemon",6,FALSE,FALSE,NA,NA
"203","Ако беше толку срање Мој термин, зошто едноставно не го укинете туку ќе го „подобрувате“ #ЗдравоТаравари",FALSE,1,NA,2017-06-20 04:22:50,FALSE,NA,"877018881101090822",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","GOOD_9000",0,FALSE,FALSE,NA,NA
"204","#ЗдравоТаравари Mozzi cicki vo dm?",FALSE,1,NA,2017-06-20 01:09:05,FALSE,NA,"876970122526720001",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","NekojNikola",0,FALSE,FALSE,NA,NA
"205","Топ теми: #ДоброУтро #ЗдравоТаравари #ОнаКога #ТретаСмена #ДoбрoУтрo #ДобраНоќ",FALSE,0,NA,2017-06-20 00:00:03,FALSE,NA,"876952750503886849",NA,"<a href=""http://delicon.mk/trending/"" rel=""nofollow"">TrendingMK</a>","trendingmk",0,FALSE,FALSE,NA,NA
"206","#здравотаравари ме бољи љево маде, овај сесРа нече да пипне, а камо ли да ѕирне",FALSE,0,NA,2017-06-19 23:42:59,FALSE,NA,"876948454190219264",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","PinchL0VER",0,FALSE,FALSE,NA,NA
"207","#ЗдравоТаравари на рекламите за влошки секогаш има плава течност, епа мене ми е црвена, дали треба да бидам загрижена?",FALSE,64,NA,2017-06-19 23:13:31,FALSE,NA,"876941038593736704",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","evilblonddemon",20,FALSE,FALSE,NA,NA
"208","@viktorija0land @macedonus #ЗдравоТаравари
Фацава на Наум ко троа посрана. 
Чаре?!",FALSE,6,"viktorija0land",2017-06-19 23:08:46,FALSE,"876934814720565248","876939844416659456","267776883","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","EvinaTestisi",2,FALSE,FALSE,NA,NA
"209","#ЗдравоТаравари
Заев ми предизвикува тешкотии во дишење, тахикардии",FALSE,0,NA,2017-06-19 23:06:57,FALSE,NA,"876939387245912065",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","EvinaTestisi",0,FALSE,FALSE,NA,NA
"210","#ЗдравоТаравари
Ме боли пичката.",FALSE,0,NA,2017-06-19 23:06:17,FALSE,NA,"876939220530733056",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","EvinaTestisi",0,FALSE,FALSE,NA,NA
"211","#ЗдравоТаравари #ПрашањаОдФорум
Што да направам за да зачнам со машко дете #третасмена",FALSE,24,NA,2017-06-19 23:02:22,FALSE,NA,"876938233011195904",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","One_Death_Wish",7,FALSE,FALSE,NA,NA
"212","#ЗдравоТаравари, спиеш ли мирно?",FALSE,20,NA,2017-06-19 23:02:08,FALSE,NA,"876938177000472576",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","evilblonddemon",7,FALSE,FALSE,NA,NA
"213","#ЗдравоТаравари - после Коста не бил бренд.Одма се познава класа.#СеГлеамеНаВрх",FALSE,0,NA,2017-06-19 22:57:05,FALSE,NA,"876936904867958784",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","Branding_",0,FALSE,FALSE,NA,NA
"214","#ЗдравоТаравари неколку прашања до тебе:
- Дали лечиш скршени срца, хемороиди и наоѓаш сродни души?
#ФалаМногу
#ЧаоТаравари",FALSE,29,NA,2017-06-19 22:49:31,FALSE,NA,"876935002709274625",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","evilblonddemon",12,FALSE,FALSE,NA,NA
"215","#ЗдравоТаравари - после Коста не бил бренд.
Одма се познава класа.
#СеГлеамеНаВрх",FALSE,5,NA,2017-06-19 22:46:02,FALSE,NA,"876934124417814529",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","LOshGZE",3,FALSE,FALSE,NA,NA
